Fuel;Trash;Weather;Day;Season;Dist_House;Dist_Station;Weight;Decision
CRITICAL;LOW;SUNNY;Wednesday;SUMMER;NEAR;NEAR;MEDIUM;STATION
LOW;MEDIUM;RAINY;Wednesday;SPRING;NEAR;MEDIUM;SMALL;STATION
MEDIUM;MEDIUM;SUNNY;Friday;AUTUMN;NEAR;MEDIUM;MEDIUM;HOUSE
HIGH;FULL;SNOWY;Thursday;WINTER;NEAR;MEDIUM;LARGE;DUMP
MEDIUM;FULL;SUNNY;Thursday;SUMMER;MEDIUM;FAR;MEDIUM;DUMP
HIGH;MEDIUM;RAINY;Wednesday;AUTUMN;NEAR;NEAR;SMALL;HOUSE
HIGH;FULL;SNOWY;Friday;WINTER;MEDIUM;FAR;MEDIUM;DUMP
MEDIUM;LOW;RAINY;Monday;AUTUMN;NEAR;MEDIUM;SMALL;HOUSE
HIGH;MEDIUM;SUNNY;Monday;SPRING;NEAR;MEDIUM;SMALL;HOUSE
LOW;LOW;RAINY;Wednesday;AUTUMN;NEAR;FAR;MEDIUM;STATION
MEDIUM;FULL;RAINY;Thursday;AUTUMN;MEDIUM;FAR;MEDIUM;DUMP
MEDIUM;MEDIUM;RAINY;Monday;AUTUMN;NEAR;MEDIUM;MEDIUM;HOUSE
HIGH;MEDIUM;SNOWY;Tuesday;WINTER;MEDIUM;FAR;LARGE;DUMP
MEDIUM;FULL;SNOWY;Thursday;WINTER;MEDIUM;MEDIUM;LARGE;DUMP
MEDIUM;LOW;SUNNY;Monday;SUMMER;NEAR;MEDIUM;MEDIUM;HOUSE
MEDIUM;FULL;SUNNY;Monday;SPRING;MEDIUM;FAR;SMALL;DUMP
CRITICAL;LOW;SUNNY;Thursday;SPRING;NEAR;MEDIUM;SMALL;STATION
CRITICAL;FULL;SNOWY;Wednesday;WINTER;NEAR;MEDIUM;MEDIUM;STATION
MEDIUM;EMPTY;SUNNY;Thursday;SUMMER;NEAR;FAR;MEDIUM;HOUSE
MEDIUM;EMPTY;SUNNY;Thursday;SUMMER;MEDIUM;FAR;MEDIUM;HOUSE
HIGH;FULL;RAINY;Wednesday;AUTUMN;NEAR;MEDIUM;MEDIUM;DUMP
MEDIUM;FULL;RAINY;Wednesday;AUTUMN;NEAR;FAR;MEDIUM;DUMP
HIGH;FULL;SNOWY;Tuesday;WINTER;MEDIUM;NEAR;MEDIUM;DUMP
HIGH;MEDIUM;SUNNY;Monday;SUMMER;NEAR;NEAR;MEDIUM;HOUSE
LOW;FULL;SUNNY;Thursday;SPRING;NEAR;FAR;SMALL;STATION
HIGH;MEDIUM;SUNNY;Tuesday;SUMMER;MEDIUM;FAR;SMALL;HOUSE
HIGH;MEDIUM;RAINY;Wednesday;AUTUMN;MEDIUM;FAR;SMALL;DUMP
HIGH;FULL;SNOWY;Saturday;WINTER;MEDIUM;NEAR;MEDIUM;DUMP
HIGH;MEDIUM;SUNNY;Saturday;SUMMER;NEAR;NEAR;SMALL;HOUSE
MEDIUM;MEDIUM;SUNNY;Wednesday;SUMMER;NEAR;MEDIUM;SMALL;HOUSE
LOW;MEDIUM;RAINY;Tuesday;SPRING;NEAR;MEDIUM;SMALL;STATION
HIGH;FULL;SNOWY;Wednesday;WINTER;MEDIUM;NEAR;MEDIUM;DUMP
HIGH;MEDIUM;SUNNY;Monday;SUMMER;MEDIUM;FAR;MEDIUM;HOUSE
MEDIUM;MEDIUM;RAINY;Saturday;SPRING;NEAR;MEDIUM;SMALL;HOUSE
CRITICAL;FULL;SUNNY;Tuesday;AUTUMN;NEAR;MEDIUM;MEDIUM;STATION
MEDIUM;MEDIUM;SUNNY;Friday;SPRING;NEAR;MEDIUM;SMALL;HOUSE
HIGH;EMPTY;SUNNY;Monday;SUMMER;MEDIUM;FAR;MEDIUM;HOUSE
CRITICAL;FULL;RAINY;Tuesday;SPRING;MEDIUM;NEAR;SMALL;STATION
MEDIUM;FULL;SUNNY;Tuesday;AUTUMN;MEDIUM;FAR;MEDIUM;DUMP
HIGH;FULL;SNOWY;Saturday;WINTER;NEAR;NEAR;MEDIUM;DUMP
MEDIUM;FULL;SNOWY;Saturday;WINTER;MEDIUM;FAR;MEDIUM;DUMP
MEDIUM;MEDIUM;RAINY;Saturday;AUTUMN;NEAR;MEDIUM;MEDIUM;HOUSE
HIGH;MEDIUM;RAINY;Friday;SUMMER;MEDIUM;FAR;MEDIUM;HOUSE
CRITICAL;MEDIUM;SUNNY;Monday;SPRING;MEDIUM;NEAR;MEDIUM;STATION
HIGH;FULL;SNOWY;Wednesday;WINTER;NEAR;MEDIUM;MEDIUM;DUMP
MEDIUM;MEDIUM;SUNNY;Saturday;SUMMER;NEAR;FAR;MEDIUM;HOUSE
MEDIUM;MEDIUM;RAINY;Saturday;SPRING;MEDIUM;MEDIUM;SMALL;DUMP
MEDIUM;FULL;SUNNY;Friday;SPRING;NEAR;MEDIUM;SMALL;DUMP
LOW;FULL;SNOWY;Wednesday;WINTER;MEDIUM;FAR;MEDIUM;STATION
LOW;MEDIUM;RAINY;Thursday;AUTUMN;MEDIUM;FAR;MEDIUM;STATION
HIGH;LOW;RAINY;Friday;SUMMER;NEAR;NEAR;MEDIUM;HOUSE
LOW;MEDIUM;SUNNY;Tuesday;AUTUMN;NEAR;MEDIUM;SMALL;HOUSE
CRITICAL;LOW;SNOWY;Monday;WINTER;MEDIUM;NEAR;MEDIUM;STATION
HIGH;MEDIUM;SUNNY;Thursday;SPRING;MEDIUM;FAR;SMALL;HOUSE
LOW;MEDIUM;SNOWY;Monday;WINTER;NEAR;MEDIUM;LARGE;HOUSE
CRITICAL;FULL;RAINY;Tuesday;SPRING;MEDIUM;MEDIUM;SMALL;STATION
HIGH;FULL;SUNNY;Thursday;SUMMER;NEAR;MEDIUM;MEDIUM;DUMP
MEDIUM;FULL;RAINY;Saturday;SPRING;NEAR;FAR;SMALL;DUMP
HIGH;MEDIUM;SUNNY;Saturday;SUMMER;MEDIUM;FAR;SMALL;HOUSE
MEDIUM;LOW;SUNNY;Monday;SUMMER;NEAR;MEDIUM;MEDIUM;HOUSE
MEDIUM;FULL;SNOWY;Wednesday;WINTER;NEAR;MEDIUM;MEDIUM;DUMP
LOW;FULL;SUNNY;Wednesday;SUMMER;MEDIUM;MEDIUM;MEDIUM;DUMP
LOW;FULL;SNOWY;Friday;WINTER;NEAR;MEDIUM;MEDIUM;STATION
LOW;FULL;SNOWY;Wednesday;WINTER;NEAR;MEDIUM;MEDIUM;STATION
LOW;LOW;RAINY;Friday;SUMMER;NEAR;MEDIUM;SMALL;STATION
CRITICAL;MEDIUM;SUNNY;Sunday;SPRING;NONE;NEAR;NONE;STATION
LOW;MEDIUM;SUNNY;Monday;SUMMER;MEDIUM;MEDIUM;SMALL;HOUSE
MEDIUM;MEDIUM;SUNNY;Monday;SPRING;NEAR;FAR;SMALL;HOUSE
CRITICAL;LOW;SNOWY;Monday;WINTER;MEDIUM;MEDIUM;MEDIUM;STATION
LOW;FULL;RAINY;Thursday;AUTUMN;NEAR;MEDIUM;MEDIUM;STATION
LOW;MEDIUM;RAINY;Saturday;SPRING;NEAR;MEDIUM;SMALL;STATION
LOW;FULL;RAINY;Monday;AUTUMN;MEDIUM;MEDIUM;MEDIUM;STATION
MEDIUM;FULL;RAINY;Wednesday;AUTUMN;MEDIUM;FAR;MEDIUM;DUMP
MEDIUM;FULL;SNOWY;Wednesday;WINTER;MEDIUM;FAR;MEDIUM;DUMP
LOW;MEDIUM;SUNNY;Friday;AUTUMN;NEAR;FAR;MEDIUM;HOUSE
CRITICAL;MEDIUM;SUNNY;Friday;AUTUMN;NEAR;FAR;MEDIUM;STATION
MEDIUM;FULL;SUNNY;Saturday;SUMMER;NEAR;FAR;MEDIUM;DUMP
HIGH;MEDIUM;SUNNY;Saturday;SUMMER;MEDIUM;MEDIUM;SMALL;HOUSE
MEDIUM;FULL;RAINY;Wednesday;SPRING;NEAR;FAR;SMALL;DUMP
LOW;LOW;SUNNY;Saturday;SUMMER;NEAR;FAR;MEDIUM;HOUSE
LOW;FULL;RAINY;Tuesday;SPRING;MEDIUM;FAR;SMALL;STATION
HIGH;MEDIUM;SUNNY;Friday;AUTUMN;NEAR;MEDIUM;SMALL;HOUSE
HIGH;FULL;RAINY;Thursday;AUTUMN;NEAR;MEDIUM;MEDIUM;DUMP
HIGH;FULL;SUNNY;Thursday;SUMMER;NEAR;MEDIUM;MEDIUM;DUMP
HIGH;FULL;SUNNY;Thursday;SUMMER;MEDIUM;FAR;MEDIUM;DUMP
HIGH;FULL;RAINY;Wednesday;AUTUMN;MEDIUM;FAR;SMALL;DUMP
HIGH;EMPTY;SUNNY;Monday;SUMMER;NEAR;MEDIUM;MEDIUM;HOUSE
CRITICAL;MEDIUM;RAINY;Saturday;SPRING;MEDIUM;NEAR;SMALL;STATION
HIGH;EMPTY;SNOWY;Monday;WINTER;NEAR;MEDIUM;MEDIUM;HOUSE
MEDIUM;LOW;RAINY;Monday;AUTUMN;NEAR;MEDIUM;SMALL;HOUSE
LOW;LOW;SUNNY;Thursday;SPRING;MEDIUM;FAR;SMALL;STATION
CRITICAL;FULL;SUNNY;Thursday;SUMMER;NEAR;MEDIUM;MEDIUM;STATION
CRITICAL;MEDIUM;SNOWY;Monday;WINTER;NEAR;MEDIUM;LARGE;STATION
HIGH;FULL;SNOWY;Saturday;WINTER;MEDIUM;FAR;LARGE;DUMP
HIGH;FULL;SNOWY;Friday;WINTER;NEAR;MEDIUM;MEDIUM;DUMP
CRITICAL;FULL;SNOWY;Saturday;WINTER;NEAR;NEAR;MEDIUM;STATION
HIGH;MEDIUM;RAINY;Friday;SUMMER;NEAR;NEAR;MEDIUM;HOUSE
MEDIUM;MEDIUM;SUNNY;Monday;SPRING;NEAR;MEDIUM;SMALL;HOUSE
HIGH;EMPTY;SUNNY;Monday;SUMMER;MEDIUM;FAR;MEDIUM;HOUSE
MEDIUM;FULL;RAINY;Friday;SUMMER;NEAR;MEDIUM;MEDIUM;DUMP
CRITICAL;MEDIUM;RAINY;Saturday;SPRING;NEAR;MEDIUM;SMALL;STATION
MEDIUM;MEDIUM;SUNNY;Wednesday;SUMMER;NEAR;MEDIUM;MEDIUM;HOUSE
LOW;LOW;SUNNY;Monday;SUMMER;MEDIUM;FAR;MEDIUM;STATION
MEDIUM;FULL;SNOWY;Wednesday;WINTER;NEAR;MEDIUM;MEDIUM;DUMP
HIGH;FULL;SUNNY;Tuesday;AUTUMN;MEDIUM;FAR;MEDIUM;DUMP
HIGH;FULL;SUNNY;Tuesday;AUTUMN;NEAR;MEDIUM;MEDIUM;DUMP
HIGH;FULL;SUNNY;Tuesday;AUTUMN;MEDIUM;FAR;MEDIUM;DUMP
MEDIUM;MEDIUM;SUNNY;Saturday;SUMMER;NEAR;MEDIUM;SMALL;HOUSE
LOW;MEDIUM;SUNNY;Wednesday;SUMMER;NEAR;MEDIUM;MEDIUM;HOUSE
CRITICAL;FULL;SNOWY;Sunday;WINTER;NONE;NEAR;NONE;STATION
LOW;LOW;SUNNY;Thursday;SUMMER;NEAR;MEDIUM;MEDIUM;HOUSE
MEDIUM;FULL;SUNNY;Monday;SUMMER;NEAR;MEDIUM;MEDIUM;DUMP
HIGH;LOW;RAINY;Monday;AUTUMN;NEAR;NEAR;SMALL;HOUSE
MEDIUM;LOW;SUNNY;Tuesday;AUTUMN;MEDIUM;FAR;MEDIUM;HOUSE
CRITICAL;LOW;RAINY;Saturday;AUTUMN;NEAR;MEDIUM;SMALL;STATION
LOW;MEDIUM;SUNNY;Monday;SUMMER;NEAR;MEDIUM;SMALL;HOUSE
HIGH;MEDIUM;SNOWY;Tuesday;WINTER;NEAR;NEAR;LARGE;HOUSE
HIGH;FULL;RAINY;Saturday;AUTUMN;MEDIUM;FAR;MEDIUM;DUMP
HIGH;FULL;RAINY;Thursday;AUTUMN;NEAR;NEAR;MEDIUM;DUMP
LOW;MEDIUM;RAINY;Saturday;SPRING;NEAR;MEDIUM;SMALL;STATION
HIGH;LOW;SUNNY;Friday;SPRING;NEAR;NEAR;SMALL;HOUSE
MEDIUM;FULL;RAINY;Thursday;AUTUMN;MEDIUM;FAR;SMALL;DUMP
MEDIUM;FULL;SNOWY;Tuesday;WINTER;NEAR;MEDIUM;LARGE;DUMP
MEDIUM;MEDIUM;RAINY;Wednesday;AUTUMN;NEAR;MEDIUM;MEDIUM;HOUSE
HIGH;MEDIUM;SUNNY;Wednesday;SUMMER;NEAR;MEDIUM;SMALL;HOUSE
MEDIUM;FULL;SNOWY;Thursday;WINTER;NEAR;MEDIUM;LARGE;DUMP
CRITICAL;MEDIUM;RAINY;Wednesday;AUTUMN;NEAR;MEDIUM;MEDIUM;STATION
HIGH;FULL;SNOWY;Friday;WINTER;NEAR;NEAR;MEDIUM;DUMP
CRITICAL;LOW;SUNNY;Wednesday;SUMMER;NEAR;MEDIUM;MEDIUM;STATION
LOW;FULL;SNOWY;Thursday;WINTER;MEDIUM;FAR;LARGE;STATION
LOW;FULL;SNOWY;Saturday;WINTER;NEAR;MEDIUM;MEDIUM;STATION
LOW;LOW;SUNNY;Tuesday;SUMMER;NEAR;FAR;SMALL;STATION
CRITICAL;FULL;SNOWY;Friday;WINTER;NEAR;MEDIUM;MEDIUM;STATION
CRITICAL;LOW;RAINY;Saturday;AUTUMN;NEAR;MEDIUM;MEDIUM;STATION
HIGH;FULL;SUNNY;Thursday;SUMMER;NEAR;NEAR;SMALL;DUMP
HIGH;LOW;RAINY;Friday;SUMMER;NEAR;MEDIUM;MEDIUM;HOUSE
HIGH;FULL;SNOWY;Wednesday;WINTER;MEDIUM;FAR;MEDIUM;DUMP
CRITICAL;LOW;SNOWY;Monday;WINTER;MEDIUM;MEDIUM;MEDIUM;STATION
LOW;LOW;SUNNY;Monday;SPRING;MEDIUM;FAR;SMALL;STATION
LOW;LOW;SUNNY;Tuesday;AUTUMN;NEAR;FAR;MEDIUM;HOUSE
CRITICAL;MEDIUM;SUNNY;Friday;AUTUMN;NEAR;MEDIUM;SMALL;STATION
MEDIUM;FULL;RAINY;Wednesday;AUTUMN;NEAR;MEDIUM;MEDIUM;DUMP
LOW;FULL;SNOWY;Monday;WINTER;FAR;FAR;LARGE;STATION
MEDIUM;EMPTY;RAINY;Wednesday;AUTUMN;NEAR;MEDIUM;SMALL;HOUSE
HIGH;MEDIUM;SUNNY;Thursday;SUMMER;MEDIUM;NEAR;MEDIUM;HOUSE
